[mysql_work.py] [__dict_book] [WARNING] [2020-03-27 10:37:58,479] : init database and dict table...
[mysql_work.py] [__dict_book] [WARNING] [2020-03-27 10:38:01,707] : init done...
[main.py] [server_func] [INFO] [2020-03-27 18:26:04,258] : connect from ('127.0.0.1', 42430)
[main.py] [server_func] [INFO] [2020-03-27 18:26:04,259] : ('127.0.0.1', 42430)断开连接
[main.py] [server_func] [INFO] [2020-03-27 18:26:16,633] : connect from ('127.0.0.1', 42432)
[main.py] [server_func] [INFO] [2020-03-27 18:26:16,634] : IMPOSSIBLE zh@zhang@zhagn 
[main.py] [server_func] [INFO] [2020-03-27 18:26:32,285] : ('127.0.0.1', 42432)断开连接
[main.py] [server_func] [INFO] [2020-03-27 18:29:58,465] : connect from ('127.0.0.1', 42436)
[main.py] [server_func] [INFO] [2020-03-27 18:29:58,466] : None断开连接
[main.py] [server_func] [INFO] [2020-03-27 18:30:07,904] : connect from ('127.0.0.1', 42438)
[main.py] [server_func] [INFO] [2020-03-27 18:31:03,054] : connect from ('127.0.0.1', 42442)
[main.py] [server_func] [INFO] [2020-03-27 18:31:03,057] : None断开连接
